Film	Director	Leading actors	Year of cinema release	No of Oscars won	IMDB link	Guardian film page	Country	Category	summary
Brief Encounter	David Lean 	Celia Johnson, Cyril Raymond, Stanley Holloway, Trevor Howard	1945		http://www.imdb.com/title/tt0037558/	http://www.guardian.co.uk/film/movie/35664/brief.encounter	UK	Romance	Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.
Casablanca	Michael Curtiz	Claude Rains, Humphrey Bogart, Ingrid Bergman, Paul Henreid	1942	3	http://www.imdb.com/title/tt0034583/	http://www.guardian.co.uk/film/movie/36156/casablanca	USA	Romance	In Casablanca, Morocco during the early days of World War II, an American expatriate meets a former lover, with unforeseen complications.
Before Sunrise	Richard Linklater	Ethan Hawke and Julie Delpy	1995		http://www.imdb.com/title/tt0112471/	http://www.guardian.co.uk/film/movie/58808/before-sunrise	USA	Romance	A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.
Before Sunset	Richard Linklater	Ethan Hawke and Julie Delpy	2004		http://www.imdb.com/title/tt0381681/awards	http://www.guardian.co.uk/film/movie/101181/before.sunset	USA	Romance	Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.
Breathless	Jean-Luc Godard	Jean Seberg, Jean-Paul Belmondo	1960		http://www.imdb.com/title/tt0053472/	http://www.guardian.co.uk/film/movie/36219/a-bout-de-souffle	France	Romance	A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.
In the Mood for Love	Kar Wai Wong	Maggie Cheung Man-Yuk, Rebecca Pan, Tony Leung Chiu-Wai	2000		http://www.imdb.com/title/tt0118694/	http://www.guardian.co.uk/film/movie/85442/in.the.mood.for.love	Hong Kong	Romance	Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.
The Apartment	Billy Wilder	Fred MacMurray, Jack Lemmon, Ray Walston, Shirley MacLaine	1960		http://www.imdb.com/title/tt0053604/	http://www.guardian.co.uk/film/movie/36225/apartment	USA	Romance	A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.
Hannah & Her Sisters	Woody Allen 	Barbara Hershey, Carrie Fisher, Dianne Wiest, Julie Kavner, Mia Farrow, Michael Caine, Woody Allen	1986	3	http://www.imdb.com/title/tt0091167/	http://www.guardian.co.uk/film/movie/89162/hannah-and-her-sisters	USA	Romance	Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.
Eternal Sunshine of the Spotless Mind	Michel Gondry	Elijah Wood, Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Tom Wilkinson	2004	1	http://www.imdb.com/title/tt0338013/	http://www.guardian.co.uk/film/movie/100140/eternal.sunshine.of.the.spotless.mind	USA	Romance	When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with.
Room With a View	James Ivory	Helena Bonham Carter, Julian Sands, Maggie Smith	1985	3	http://www.imdb.com/title/tt0091867/	http://www.guardian.co.uk/film/movie/77615/room-with-a-view	UK	Romance	When Lucy Honeychurch and chaperone Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting...
Jules et Jim	Fran?ois Truffaut	Henri Serre, Jeanne Moreau, Oscar Werner, Oskar Werner	1962		http://www.imdb.com/title/tt0055032/	http://www.guardian.co.uk/film/movie/76699/jules.et.jim	France	Romance	Decades of a love triangle concerning two friends and an impulsive woman.
All That Heaven Allows	Douglas Sirk	Jane Wyman, Rock Hudson	1955		http://www.imdb.com/title/tt0047811/	http://www.guardian.co.uk/film/movie/94875/all-that-heaven-allows	USA	Romance	An upper-class widow falls in love with a much younger, down-to-earth nurseryman, much to the disapproval of her children and criticism of her country club peers.
Gone with the Wind	Victor Fleming	Anne Rutherford, Clark Gable, Hattie McDaniel, Leslie Howard, Olivia De Havilland, Vivien Leigh	1939	8	http://www.imdb.com/title/tt0031381/	http://www.guardian.co.uk/film/movie/36144/gone.with.the.wind	USA	Romance	A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.
An Affair to Remember	Leo McCarey	Cary Grant, Deborah Kerr, Richard Denning	1957		http://www.imdb.com/title/tt0050105/	http://www.guardian.co.uk/film/movie/82271/affair.to.remember	USA	Romance	A couple falls in love and agrees to meet in six months at the Empire State Building - but will it happen?
Umbrellas of Cherbourg	Jaques Demy 	Anne Vernon, Catherine Deneuve, Nino Castelnuovo	1964		http://www.imdb.com/title/tt0058450/	http://www.guardian.co.uk/film/movie/77848/umbrellas.of.cherbourg	France	Romance	A young girl separated from her lover by war faces a life altering decision.
Lost in Translation	Sofia Coppola	Bill Murray, Giovanni Ribisi, Scarlett Johansson	2003	1	http://www.imdb.com/title/tt0335266/	http://www.guardian.co.uk/film/movie/96936/lost.in.translation	USA	Romance	A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
Roman Holiday	William Wyler	Audrey Hepburn, Gregory Peck	1953	3	http://www.imdb.com/title/tt0046250/	http://www.guardian.co.uk/film/movie/96156/roman-holiday	USA	Romance	A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
Wall-E	Andrew Stanton	Ben Burtt, Fred Willard, Jeff Garlin, Kathy Najimy, Sigourney Weaver	2008	1	http://www.imdb.com/title/tt0910970/	http://www.guardian.co.uk/film/movie/125194/wall-e	USA	Romance	In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
My Night With Maud	Eric Rohmer	 Francoise Fabian, Jean-Louis Trintignant	1969		http://www.imdb.com/title/tt0064612/	http://www.guardian.co.uk/film/movie/77331/my-night-with-maud	France	Romance	The rigid principles of a devout Catholic man are challenged during a one-night stay with Maud, a divorced woman with an outsize personality.
Voyage to Italy	Roberto Rossellini	Ingrid Bergman	1954		http://www.imdb.com/title/tt0046511/	http://www.guardian.co.uk/film/movie/88522/voyage-to-italy	Italy	Romance	Catherine and Alexander, wealthy and sophisticated, drive to Naples to dispose of a deceased uncle's villa. There's a coolness in their relationship and aspects of Naples add to the strain....
Dr Zhivago	David Lean	Geraldine Chaplin, Julie Christie, Omar Sharif	1965	5	http://www.imdb.com/title/tt0059113/	http://www.guardian.co.uk/film/movie/78519/dr-zhivago	USA	Romance	The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during the First World War and then the October Revolution.
Harold & Maude	Hal Ashby	Bud Cort, Cyril Cusack, Ruth Gordon, Vivian Pickles	1971		http://www.imdb.com/title/tt0067185/	http://www.guardian.co.uk/film/movie/78471/harold-and-maude	USA	Romance	Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.
When Harry Met Sally	Rob Reiner	Billy Crystal, Bruno Kirby, Carrie Fisher, Meg Ryan	1989		http://www.imdb.com/title/tt0098635/	http://www.guardian.co.uk/film/movie/75869/when-harry-met-sally.	USA	Romance	Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.
Say Anything....	Cameron crowe	John Cusack, Ione Skye, John Mahoney	1989		http://www.imdb.com/title/tt0098258/		USA	Romance	A noble underachiever and a beautiful valedictorian fall in love the summer before she goes off to college.
Fabulous Baker Boys	Steve Kloves	Beau Bridges, Jeff Bridges, Michelle Pfeiffer	1989		http://www.imdb.com/title/tt0097322/	http://www.guardian.co.uk/film/movie/134648/fabulous-baker-boys	USA	Romance	Frank and Jack Baker are professional musicians who play in small clubs. They play schmaltzy music and have never needed a day job. Times are changing and dates are becoming more difficult ...
A Matter of Life & Death	 Emeric Pressburger, Michael Powell	 David Niven, Kim Hunter, Raymond Massey, Richard Attenborough, Roger Livesey	1946		http://www.imdb.com/title/tt0038733/	http://www.guardian.co.uk/film/movie/36173/matter.of.life.and.death	UK	Romance	A British wartime aviator who cheats death must argue for his life before a celestial court.
Chinatown	Roman Polanski	Faye Dunaway, Jack Nicholson, John Huston	1974	1	http://www.imdb.com/title/tt0071315/	http://www.guardian.co.uk/film/movie/36302/chinatown	USA	Crime	A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption and murder.
Touch of Evil	Orson Welles	Charlton Heston, Janet Leigh, Marlene Dietrich, Orson Welles, Zsa Zsa Gabor	1958		http://www.imdb.com/title/tt0052311/	http://www.guardian.co.uk/film/movie/36217/touch.of.evil	USA	Crime	A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.
Vertigo	Alfred Hitchcock	Barbara Bel Geddes, James Stewart, Kim Novak	1958		http://www.imdb.com/title/tt0052357/	http://www.guardian.co.uk/film/movie/34909/vertigo	USA	Crime	A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.
 Badlands	Terrence Malik	Alan Vint, Martin Sheen, Ramon Bieri, Sissy Spacek, Warren Oates	1973		http://www.imdb.com/title/tt0069762/	http://www.guardian.co.uk/film/movie/76181/badlands	USA	Crime	An impressionable teen girl from a dead-end town and her older greaser boyfriend go on a killing spree in the South Dakota badlands.
Rashomon	Akira Kurosawa	Machiko Kyo, Masayuki Mori, Toshiro Mifune	1950		http://www.imdb.com/title/tt0042876/	http://www.guardian.co.uk/film/movie/83179/rashomon	Japan	Crime	A heinous crime and its aftermath are recalled from differing points of view.
Double Indemnity	Billy Wilder	Porter Hall, Jean Heather, Byron Barr, Richard Gaines, John Philliber, Edward G. Robinson, Fred MacMurray and Barbara Stanwyck	1944		http://www.imdb.com/title/tt0036775/	http://www.guardian.co.uk/film/movie/36162/double.indemnity	USA	Crime	An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.
Get Carter	Mike Hodges	Brian Mosley, Britt Ekland, Geraldine Moffatt, John Osborne, Michael Caine	1971		http://www.imdb.com/title/tt0067128/	http://www.guardian.co.uk/film/movie/36294/get.carter	UK	Crime	When his brother dies under mysterious circumstances in a car accident, London gangster Jack Carter travels to Newcastle to investigate.
Pulp Fiction	Quentin Tarantino	Amanda Plummer, Bruce Willis, Eric Stoltz, Harvey Keitel, John Travolta, Rosanna Arquette, Samuel L Jackson, Steve Buscemi, Tim Roth, Uma Thurman	1994	1	http://www.imdb.com/title/tt0110912/	http://www.guardian.co.uk/film/movie/56612/pulp.fiction	USA	Crime	The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
Hidden	 Michael Haneke	Annie Girardot, Daniel Auteuil, Juliette Binoche, Maurice Benichou	2005		http://www.imdb.com/title/tt0387898/	http://www.guardian.co.uk/film/movie/108597/hidden	France	Crime	A married couple is terrorized by a series of surveillance videotapes left on their front porch.
Goodfellas	Martin Scorsese	 Frank Vincent, Joe Pesci, Lorraine Bracco, Ray Liotta, Robert De Niro	1990	1	http://www.imdb.com/title/tt0099685/	http://www.guardian.co.uk/film/movie/37702/goodfellas	USA	Crime	Henry Hill and his friends work their way up through the mob hierarchy.
